# Biome registry dump
# Minecraft: 1.20.1
# Entries: 135
# Generated: 2025-12-02T23:05:00.99564-03:00

ae2:spatial_storage 107
biomesoplenty:auroral_garden 0
biomesoplenty:bayou 4
biomesoplenty:bog 8
biomesoplenty:clover_patch 10
biomesoplenty:cold_desert 11
biomesoplenty:coniferous_forest 13
biomesoplenty:crag 14
biomesoplenty:crystalline_chasm 16
biomesoplenty:dead_forest 18
biomesoplenty:dryland 28
biomesoplenty:dune_beach 29
biomesoplenty:erupting_inferno 35
biomesoplenty:field 36
biomesoplenty:fir_clearing 37
biomesoplenty:floodplain 38
biomesoplenty:forested_field 41
biomesoplenty:fungal_jungle 45
biomesoplenty:glowing_grotto 46
biomesoplenty:grassland 47
biomesoplenty:highland 49
biomesoplenty:jade_cliffs 51
biomesoplenty:lavender_field 54
biomesoplenty:lavender_forest 55
biomesoplenty:lush_desert 58
biomesoplenty:lush_savanna 59
biomesoplenty:maple_woods 61
biomesoplenty:marsh 62
biomesoplenty:mediterranean_forest 64
biomesoplenty:moor 66
biomesoplenty:muskeg 68
biomesoplenty:mystic_grove 69
biomesoplenty:old_growth_dead_forest 73
biomesoplenty:old_growth_woodland 76
biomesoplenty:ominous_woods 77
biomesoplenty:orchard 78
biomesoplenty:origin_valley 79
biomesoplenty:pasture 81
biomesoplenty:prairie 83
biomesoplenty:pumpkin_patch 84
biomesoplenty:rainforest 85
biomesoplenty:redwood_forest 86
biomesoplenty:rocky_rainforest 88
biomesoplenty:rocky_shrubland 89
biomesoplenty:scrubland 92
biomesoplenty:seasonal_forest 93
biomesoplenty:seasonal_orchard 94
biomesoplenty:shrubland 95
biomesoplenty:snowblossom_grove 97
biomesoplenty:snowy_coniferous_forest 99
biomesoplenty:snowy_fir_clearing 100
biomesoplenty:snowy_maple_woods 101
biomesoplenty:spider_nest 108
biomesoplenty:tropics 116
biomesoplenty:tundra 117
biomesoplenty:undergrowth 118
biomesoplenty:visceral_heap 119
biomesoplenty:volcanic_plains 120
biomesoplenty:volcano 121
biomesoplenty:wasteland 124
biomesoplenty:wasteland_steppe 125
biomesoplenty:wetland 126
biomesoplenty:withered_abyss 132
biomesoplenty:woodland 134
deeperdarker:blooming_caverns 7
deeperdarker:deeplands 24
deeperdarker:echoing_forest 30
deeperdarker:overcast_columns 80
hexerei:willow_swamp 127
integrateddynamics:meneglin 65
minecraft:badlands 1
minecraft:bamboo_jungle 2
minecraft:basalt_deltas 3
minecraft:beach 5
minecraft:birch_forest 6
minecraft:cherry_grove 9
minecraft:cold_ocean 12
minecraft:crimson_forest 15
minecraft:dark_forest 17
minecraft:deep_cold_ocean 19
minecraft:deep_dark 20
minecraft:deep_frozen_ocean 21
minecraft:deep_lukewarm_ocean 22
minecraft:deep_ocean 23
minecraft:desert 26
minecraft:dripstone_caves 27
minecraft:end_barrens 31
minecraft:end_highlands 32
minecraft:end_midlands 33
minecraft:eroded_badlands 34
minecraft:flower_forest 39
minecraft:forest 40
minecraft:frozen_ocean 42
minecraft:frozen_peaks 43
minecraft:frozen_river 44
minecraft:grove 48
minecraft:ice_spikes 50
minecraft:jagged_peaks 52
minecraft:jungle 53
minecraft:lukewarm_ocean 56
minecraft:lush_caves 57
minecraft:mangrove_swamp 60
minecraft:meadow 63
minecraft:mushroom_fields 67
minecraft:nether_wastes 70
minecraft:ocean 71
minecraft:old_growth_birch_forest 72
minecraft:old_growth_pine_taiga 74
minecraft:old_growth_spruce_taiga 75
minecraft:plains 82
minecraft:river 87
minecraft:savanna 90
minecraft:savanna_plateau 91
minecraft:small_end_islands 96
minecraft:snowy_beach 98
minecraft:snowy_plains 102
minecraft:snowy_slopes 103
minecraft:snowy_taiga 104
minecraft:soul_sand_valley 105
minecraft:sparse_jungle 106
minecraft:stony_peaks 109
minecraft:stony_shore 110
minecraft:sunflower_plains 111
minecraft:swamp 112
minecraft:taiga 113
minecraft:the_end 114
minecraft:the_void 115
minecraft:warm_ocean 122
minecraft:warped_forest 123
minecraft:windswept_forest 128
minecraft:windswept_gravelly_hills 129
minecraft:windswept_hills 130
minecraft:windswept_savanna 131
minecraft:wooded_badlands 133
terrablender:deferred_placeholder 25
