# Block registry dump
# Minecraft: 1.20.1
# Entries: 14254
# Generated: 2026-02-05T20:54:22.2041666-03:00

actuallyadditions:atomic_reconstructor 9652
actuallyadditions:battery_box 9704
actuallyadditions:bio_reactor 9650
actuallyadditions:black_quartz_block 9717
actuallyadditions:black_quartz_brick_block 9721
actuallyadditions:black_quartz_brick_slab 9735
actuallyadditions:black_quartz_brick_stair 9742
actuallyadditions:black_quartz_brick_wall 9727
actuallyadditions:black_quartz_ore 9714
actuallyadditions:black_quartz_pillar_block 9718
actuallyadditions:black_quartz_pillar_slab 9733
actuallyadditions:black_quartz_pillar_stair 9740
actuallyadditions:black_quartz_pillar_wall 9728
actuallyadditions:black_quartz_slab 9731
actuallyadditions:black_quartz_stair 9738
actuallyadditions:black_quartz_wall 9724
actuallyadditions:breaker 9644
actuallyadditions:canola 9744
actuallyadditions:canola_oil 9749
actuallyadditions:canola_press 9638
actuallyadditions:chiseled_black_quartz_block 9719
actuallyadditions:chiseled_black_quartz_slab 9732
actuallyadditions:chiseled_black_quartz_stair 9739
actuallyadditions:chiseled_black_quartz_wall 9725
actuallyadditions:coal_generator 9641
actuallyadditions:coffee 9747
actuallyadditions:coffee_machine 9655
actuallyadditions:crate_small 9657
actuallyadditions:crusher 9632
actuallyadditions:crusher_double 9633
actuallyadditions:crystallized_oil 9751
actuallyadditions:diamatine_crystal_block 9661
actuallyadditions:diamatine_crystal_cluster 9673
actuallyadditions:display_stand 9693
actuallyadditions:dropper 9646
actuallyadditions:emeradic_crystal_block 9663
actuallyadditions:emeradic_crystal_cluster 9675
actuallyadditions:empowered_diamatine_crystal_block 9667
actuallyadditions:empowered_emeradic_crystal_block 9669
actuallyadditions:empowered_enori_crystal_block 9664
actuallyadditions:empowered_oil 9752
actuallyadditions:empowered_palis_crystal_block 9666
actuallyadditions:empowered_restonia_crystal_block 9665
actuallyadditions:empowered_void_crystal_block 9668
actuallyadditions:empowerer 9692
actuallyadditions:ender_casing 9629
actuallyadditions:energizer 9634
actuallyadditions:enervator 9635
actuallyadditions:enori_crystal_block 9658
actuallyadditions:enori_crystal_cluster 9670
actuallyadditions:ethetic_green_block 9715
actuallyadditions:ethetic_green_slab 9729
actuallyadditions:ethetic_green_stairs 9736
actuallyadditions:ethetic_green_wall 9722
actuallyadditions:ethetic_white_block 9716
actuallyadditions:ethetic_white_slab 9730
actuallyadditions:ethetic_white_stairs 9737
actuallyadditions:ethetic_white_wall 9723
actuallyadditions:farmer 9649
actuallyadditions:feeder 9631
actuallyadditions:fermenting_barrel 9639
actuallyadditions:firework_box 9705
actuallyadditions:flax 9746
actuallyadditions:fluid_collector 9648
actuallyadditions:fluid_placer 9647
actuallyadditions:greenhouse_glass 9748
actuallyadditions:heat_collector 9707
actuallyadditions:hopping_item_interface 9696
actuallyadditions:iron_casing 9628
actuallyadditions:item_interface 9695
