# Fluid registry dump
# Minecraft: 1.20.1
# Entries: 369
# Generated: 2026-02-05T20:54:22.2841844-03:00

actuallyadditions:canola_oil 41
actuallyadditions:canola_oil_flowing 42
actuallyadditions:crystallized_oil 45
actuallyadditions:crystallized_oil_flowing 46
actuallyadditions:empowered_oil 47
actuallyadditions:empowered_oil_flowing 48
actuallyadditions:refined_canola_oil 43
actuallyadditions:refined_canola_oil_flowing 44
advanced_ae:quantum_infusion_flowing 314
advanced_ae:quantum_infusion_source 315
biomancy:acid 57
biomancy:flowing_acid 58
biomesoplenty:blood 176
biomesoplenty:flowing_blood 175
cofh_core:experience 133
cofh_core:experience_flowing 134
cofh_core:honey 135
cofh_core:honey_flowing 136
cofh_core:potion 137
cofh_core:potion_flowing 138
create:chocolate 222
create:flowing_chocolate 223
create:flowing_honey 221
create:flowing_potion 217
create:flowing_tea 219
create:honey 220
create:potion 216
create:tea 218
createmetallurgy:flowing_molten_aluminum 334
createmetallurgy:flowing_molten_brass 326
createmetallurgy:flowing_molten_bronze 352
createmetallurgy:flowing_molten_constantan 354
createmetallurgy:flowing_molten_copper 322
createmetallurgy:flowing_molten_electrum 350
createmetallurgy:flowing_molten_gold 320
createmetallurgy:flowing_molten_invar 348
createmetallurgy:flowing_molten_iron 318
createmetallurgy:flowing_molten_lead 336
createmetallurgy:flowing_molten_netherite 332
createmetallurgy:flowing_molten_nickel 338
createmetallurgy:flowing_molten_obdurium 346
createmetallurgy:flowing_molten_osmium 340
createmetallurgy:flowing_molten_silver 342
createmetallurgy:flowing_molten_slag 358
createmetallurgy:flowing_molten_steel 330
createmetallurgy:flowing_molten_tin 344
createmetallurgy:flowing_molten_tungsten 328
createmetallurgy:flowing_molten_void_steel 356
createmetallurgy:flowing_molten_zinc 324
createmetallurgy:molten_aluminum 333
createmetallurgy:molten_brass 325
createmetallurgy:molten_bronze 351
createmetallurgy:molten_constantan 353
createmetallurgy:molten_copper 321
createmetallurgy:molten_electrum 349
createmetallurgy:molten_gold 319
createmetallurgy:molten_invar 347
createmetallurgy:molten_iron 317
createmetallurgy:molten_lead 335
createmetallurgy:molten_netherite 331
createmetallurgy:molten_nickel 337
createmetallurgy:molten_obdurium 345
createmetallurgy:molten_osmium 339
createmetallurgy:molten_silver 341
createmetallurgy:molten_slag 357
createmetallurgy:molten_steel 329
createmetallurgy:molten_tin 343
createmetallurgy:molten_tungsten 327
createmetallurgy:molten_void_steel 355
createmetallurgy:molten_zinc 323
createmetalwork:flowing_molten_andesite 227
createmetalwork:flowing_molten_andesite_alloy 225
createmetalwork:molten_andesite 226
createmetalwork:molten_andesite_alloy 224
deepresonance:liquid_crystal 316
delightful:azalea_tea 361
delightful:flowing_azalea_tea 362
delightful:flowing_lavender_tea 364
delightful:flowing_long_prickly_pear_juice 368
delightful:flowing_prickly_pear_juice 366
delightful:lavender_tea 363
delightful:long_prickly_pear_juice 367
delightful:prickly_pear_juice 365
enderio:cloud_seed 212
enderio:cloud_seed_concentrated 214
enderio:dew_of_the_void 198
enderio:fire_water 206
enderio:flowing_cloud_seed 213
enderio:flowing_cloud_seed_concentrated 215
enderio:flowing_dew_of_the_void 199
enderio:flowing_fire_water 207
enderio:flowing_hootch 203
enderio:flowing_liquid_sunshine 211
enderio:flowing_nutrient_distillation 197
enderio:flowing_rocket_fuel 205
enderio:flowing_vapor_of_levity 201
enderio:flowing_xp_juice 209
enderio:hootch 202
enderio:liquid_sunshine 210
enderio:nutrient_distillation 196
enderio:rocket_fuel 204
enderio:vapor_of_levity 200
enderio:xp_juice 208
hexerei:blood_flowing 7
hexerei:blood_fluid 8
hexerei:flowing_potion 6
hexerei:potion 5
hexerei:quicksilver_flowing 9
hexerei:quicksilver_fluid 10
hexerei:tallow_flowing 11
hexerei:tallow_fluid 12
immersiveengineering:acetaldehyde 192
immersiveengineering:acetaldehyde_flowing 193
immersiveengineering:biodiesel 183
immersiveengineering:biodiesel_flowing 184
immersiveengineering:concrete 185
immersiveengineering:concrete_flowing 186
immersiveengineering:creosote 177
immersiveengineering:creosote_flowing 178
immersiveengineering:ethanol 181
immersiveengineering:ethanol_flowing 182
immersiveengineering:herbicide 187
immersiveengineering:herbicide_flowing 188
immersiveengineering:phenolic_resin 194
immersiveengineering:phenolic_resin_flowing 195
immersiveengineering:plantoil 179
immersiveengineering:plantoil_flowing 180
immersiveengineering:potion 191
immersiveengineering:redstone_acid 189
immersiveengineering:redstone_acid_flowing 190
industrialforegoing:biofuel 33
industrialforegoing:biofuel_flowing 34
industrialforegoing:essence 27
industrialforegoing:essence_flowing 28
industrialforegoing:ether_gas 35
industrialforegoing:ether_gas_flowing 36
industrialforegoing:fermented_ore_meat 39
industrialforegoing:fermented_ore_meat_flowing 40
industrialforegoing:latex 21
industrialforegoing:latex_flowing 22
industrialforegoing:meat 23
industrialforegoing:meat_flowing 24
industrialforegoing:pink_slime 31
industrialforegoing:pink_slime_flowing 32
industrialforegoing:raw_ore_meat 37
industrialforegoing:raw_ore_meat_flowing 38
industrialforegoing:sewage 25
industrialforegoing:sewage_flowing 26
industrialforegoing:sludge 29
industrialforegoing:sludge_flowing 30
integrateddynamics:liquid_chorus 15
integrateddynamics:liquid_chorus_flowing 16
integrateddynamics:menril_resin 13
integrateddynamics:menril_resin_flowing 14
kubejs:acidic_flux 233
kubejs:aetheric_vapor 245
kubejs:aqueous_organic_solvent 232
kubejs:fertility_essence 244
kubejs:flowing_acidic_flux 254
kubejs:flowing_aetheric_vapor 266
kubejs:flowing_aqueous_organic_solvent 253
kubejs:flowing_fertility_essence 265
kubejs:flowing_industrial_solvent 262
kubejs:flowing_liquid_agony 250
kubejs:flowing_liquid_anxiety 255
kubejs:flowing_liquid_fear 257
kubejs:flowing_liquid_joy 251
kubejs:flowing_liquid_love 256
kubejs:flowing_liquid_obsession 258
kubejs:flowing_melted_blaze_metal 249
kubejs:flowing_mineral_sludge 261
kubejs:flowing_molten_silicon 264
kubejs:flowing_molten_titanium 259
kubejs:flowing_obsidian_solution 252
kubejs:flowing_photoresist_fluid 263
kubejs:flowing_slag_slurry 260
kubejs:flowing_spectral_oil 267
kubejs:flowing_void_heavy_oil 268
kubejs:flowing_void_lubricant 269
kubejs:industrial_solvent 241
kubejs:liquid_agony 229
kubejs:liquid_anxiety 234
kubejs:liquid_fear 236
kubejs:liquid_joy 230
kubejs:liquid_love 235
kubejs:liquid_obsession 237
kubejs:melted_blaze_metal 228
kubejs:mineral_sludge 240
kubejs:molten_silicon 243
kubejs:molten_titanium 238
kubejs:obsidian_solution 231
kubejs:photoresist_fluid 242
kubejs:slag_slurry 239
kubejs:spectral_oil 246
kubejs:void_heavy_oil 247
kubejs:void_lubricant 248
mekanism:brine 296
mekanism:chlorine 274
mekanism:ethene 290
mekanism:flowing_brine 297
mekanism:flowing_chlorine 275
mekanism:flowing_ethene 291
mekanism:flowing_heavy_water 303
mekanism:flowing_hydrofluoric_acid 285
mekanism:flowing_hydrogen 271
mekanism:flowing_hydrogen_chloride 283
mekanism:flowing_lithium 299
mekanism:flowing_nutritional_paste 305
mekanism:flowing_oxygen 273
mekanism:flowing_sodium 293
mekanism:flowing_steam 301
mekanism:flowing_sulfur_dioxide 277
mekanism:flowing_sulfur_trioxide 279
mekanism:flowing_sulfuric_acid 281
mekanism:flowing_superheated_sodium 295
mekanism:flowing_uranium_hexafluoride 289
mekanism:flowing_uranium_oxide 287
mekanism:heavy_water 302
mekanism:hydrofluoric_acid 284
mekanism:hydrogen 270
mekanism:hydrogen_chloride 282
mekanism:lithium 298
mekanism:nutritional_paste 304
mekanism:oxygen 272
mekanism:sodium 292
mekanism:steam 300
mekanism:sulfur_dioxide 276
mekanism:sulfur_trioxide 278
mekanism:sulfuric_acid 280
mekanism:superheated_sodium 294
mekanism:uranium_hexafluoride 288
mekanism:uranium_oxide 286
mekanismgenerators:bioethanol 306
mekanismgenerators:deuterium 308
mekanismgenerators:flowing_bioethanol 307
mekanismgenerators:flowing_deuterium 309
mekanismgenerators:flowing_fusion_fuel 311
mekanismgenerators:flowing_tritium 313
mekanismgenerators:fusion_fuel 310
mekanismgenerators:tritium 312
minecraft:empty 0
minecraft:flowing_lava 3
minecraft:flowing_milk 132
minecraft:flowing_water 1
minecraft:lava 4
minecraft:milk 131
minecraft:water 2
mob_grinding_utils:fluid_xp 19
mob_grinding_utils:fluid_xp_flowing 20
occultengineering:flowing_spirit_solution 360
occultengineering:spirit_solution 359
pneumaticcraft:biodiesel 129
pneumaticcraft:biodiesel_flowing 130
pneumaticcraft:diesel 111
pneumaticcraft:diesel_flowing 112
pneumaticcraft:etching_acid 107
pneumaticcraft:etching_acid_flowing 108
pneumaticcraft:ethanol 125
pneumaticcraft:ethanol_flowing 126
pneumaticcraft:gasoline 115
pneumaticcraft:gasoline_flowing 116
pneumaticcraft:kerosene 113
pneumaticcraft:kerosene_flowing 114
pneumaticcraft:lpg 117
pneumaticcraft:lpg_flowing 118
pneumaticcraft:lubricant 119
pneumaticcraft:lubricant_flowing 120
pneumaticcraft:memory_essence 121
pneumaticcraft:memory_essence_flowing 122
pneumaticcraft:oil 105
pneumaticcraft:oil_flowing 106
pneumaticcraft:plastic 109
pneumaticcraft:plastic_flowing 110
pneumaticcraft:vegetable_oil 127
pneumaticcraft:vegetable_oil_flowing 128
pneumaticcraft:yeast_culture 123
pneumaticcraft:yeast_culture_flowing 124
sophisticatedcore:xp_flowing 18
sophisticatedcore:xp_still 17
systeams:steam 165
systeams:steam_flowing 166
systeams:steamier 167
systeams:steamier_flowing 168
systeams:steamiest 169
systeams:steamiest_flowing 170
systeams:steamiester 171
systeams:steamiester_flowing 172
systeams:steamiestest 173
systeams:steamiestest_flowing 174
thermal:creosote 155
thermal:creosote_flowing 156
thermal:crude_oil 157
thermal:crude_oil_flowing 158
thermal:ender 143
thermal:ender_flowing 144
thermal:glowstone 141
thermal:glowstone_flowing 142
thermal:heavy_oil 159
thermal:heavy_oil_flowing 160
thermal:latex 153
thermal:latex_flowing 154
thermal:light_oil 161
thermal:light_oil_flowing 162
thermal:redstone 139
thermal:redstone_flowing 140
thermal:refined_fuel 163
thermal:refined_fuel_flowing 164
thermal:resin 149
thermal:resin_flowing 150
thermal:sap 145
thermal:sap_flowing 146
thermal:syrup 147
thermal:syrup_flowing 148
