# Item registry dump
# Minecraft: 1.20.1
# Entries: 18688
# Generated: 2025-12-05T20:47:16.2241068-03:00

actuallyadditions:advanced_coil 11013
actuallyadditions:advanced_leaf_blower 11105
actuallyadditions:atomic_reconstructor 11145
actuallyadditions:basic_coil 11012
actuallyadditions:bats_wing 11020
actuallyadditions:battery_box 11197
actuallyadditions:bio_reactor 11143
actuallyadditions:black_quartz 11044
actuallyadditions:black_quartz_block 11210
actuallyadditions:black_quartz_brick_block 11214
actuallyadditions:black_quartz_brick_slab 11228
actuallyadditions:black_quartz_brick_stair 11235
actuallyadditions:black_quartz_brick_wall 11220
actuallyadditions:black_quartz_ore 11207
actuallyadditions:black_quartz_pillar_block 11211
actuallyadditions:black_quartz_pillar_slab 11226
actuallyadditions:black_quartz_pillar_stair 11233
actuallyadditions:black_quartz_pillar_wall 11221
actuallyadditions:black_quartz_slab 11224
actuallyadditions:black_quartz_stair 11231
actuallyadditions:black_quartz_wall 11217
actuallyadditions:book_pattern 11119
actuallyadditions:booklet 11066
actuallyadditions:breaker 11137
actuallyadditions:canola 11009
actuallyadditions:canola_oil_bucket 11238
actuallyadditions:canola_press 11131
actuallyadditions:canola_seeds 11108
actuallyadditions:chiseled_black_quartz_block 11212
actuallyadditions:chiseled_black_quartz_slab 11225
actuallyadditions:chiseled_black_quartz_stair 11232
actuallyadditions:chiseled_black_quartz_wall 11218
actuallyadditions:coal_generator 11134
actuallyadditions:coffee_beans 11106
actuallyadditions:coffee_cup 11010
actuallyadditions:coffee_machine 11148
actuallyadditions:crafter_on_a_stick 11102
actuallyadditions:crate_keeper 11057
actuallyadditions:crate_small 11150
actuallyadditions:crusher 11125
actuallyadditions:crusher_double 11126
actuallyadditions:crystallized_canola_seed 11024
actuallyadditions:crystallized_oil_bucket 11240
actuallyadditions:diamatine_crystal 11034
actuallyadditions:diamatine_crystal_block 11154
actuallyadditions:diamatine_crystal_cluster 11166
actuallyadditions:diamatine_crystal_shard 11028
actuallyadditions:diamond_aiot 11114
actuallyadditions:display_stand 11186
actuallyadditions:double_battery 11088
actuallyadditions:drill_black 11072
actuallyadditions:drill_blue 11073
actuallyadditions:drill_brown 11074
actuallyadditions:drill_core 11021
actuallyadditions:drill_cyan 11075
actuallyadditions:drill_gray 11076
actuallyadditions:drill_green 11077
actuallyadditions:drill_light_blue 11071
actuallyadditions:drill_light_gray 11078
actuallyadditions:drill_lime 11079
actuallyadditions:drill_magenta 11080
actuallyadditions:drill_orange 11081
actuallyadditions:drill_pattern 11116
actuallyadditions:drill_pink 11082
actuallyadditions:drill_purple 11083
actuallyadditions:drill_red 11084
actuallyadditions:drill_upgrade_block_placing 11100
actuallyadditions:drill_upgrade_five_by_five 11099
actuallyadditions:drill_upgrade_fortune 11096
actuallyadditions:drill_upgrade_fortune_ii 11097
actuallyadditions:drill_upgrade_silk_touch 11095
actuallyadditions:drill_upgrade_speed 11092
actuallyadditions:drill_upgrade_speed_ii 11093
actuallyadditions:drill_upgrade_speed_iii 11094
actuallyadditions:drill_upgrade_three_by_three 11098
actuallyadditions:drill_white 11085
actuallyadditions:drill_yellow 11086
actuallyadditions:dropper 11139
actuallyadditions:emeradic_crystal 11036
actuallyadditions:emeradic_crystal_block 11156
actuallyadditions:emeradic_crystal_cluster 11168
actuallyadditions:emeradic_crystal_shard 11030
actuallyadditions:empowered_canola_seed 11025
actuallyadditions:empowered_diamatine_crystal 11040
actuallyadditions:empowered_diamatine_crystal_block 11160
actuallyadditions:empowered_emeradic_crystal 11042
actuallyadditions:empowered_emeradic_crystal_block 11162
actuallyadditions:empowered_enori_crystal 11043
actuallyadditions:empowered_enori_crystal_block 11157
actuallyadditions:empowered_oil_bucket 11241
actuallyadditions:empowered_palis_crystal 11039
actuallyadditions:empowered_palis_crystal_block 11159
actuallyadditions:empowered_restonia_crystal 11038
actuallyadditions:empowered_restonia_crystal_block 11158
actuallyadditions:empowered_void_crystal 11041
actuallyadditions:empowered_void_crystal_block 11161
actuallyadditions:empowerer 11185
actuallyadditions:empty_cup 11019
actuallyadditions:ender_casing 11122
actuallyadditions:ender_star 11023
actuallyadditions:energizer 11127
actuallyadditions:enervator 11128
actuallyadditions:engineers_goggles 11046
actuallyadditions:engineers_goggles_advanced 11045
actuallyadditions:enori_crystal 11037
actuallyadditions:enori_crystal_block 11151
actuallyadditions:enori_crystal_cluster 11163
actuallyadditions:enori_crystal_shard 11031
actuallyadditions:ethetic_green_block 11208
actuallyadditions:ethetic_green_slab 11222
actuallyadditions:ethetic_green_stairs 11229
actuallyadditions:ethetic_green_wall 11215
actuallyadditions:ethetic_white_block 11209
actuallyadditions:ethetic_white_slab 11223
actuallyadditions:ethetic_white_stairs 11230
actuallyadditions:ethetic_white_wall 11216
actuallyadditions:farmer 11142
actuallyadditions:feeder 11124
actuallyadditions:fermenting_barrel 11132
actuallyadditions:filter 11054
actuallyadditions:firework_box 11198
actuallyadditions:flax_seeds 11109
actuallyadditions:fluid_collector 11141
actuallyadditions:fluid_placer 11140
actuallyadditions:gold_aiot 11113
actuallyadditions:greenhouse_glass 11237
actuallyadditions:handheld_filler 11049
actuallyadditions:heat_collector 11200
actuallyadditions:hopping_item_interface 11189
actuallyadditions:iron_aiot 11112
actuallyadditions:iron_casing 11121
actuallyadditions:item_interface 11188
actuallyadditions:item_tag 11055
actuallyadditions:lamp_black 11184
actuallyadditions:lamp_blue 11180
actuallyadditions:lamp_brown 11181
actuallyadditions:lamp_controller 11130
actuallyadditions:lamp_cyan 11178
actuallyadditions:lamp_gray 11176
actuallyadditions:lamp_green 11182
actuallyadditions:lamp_light_blue 11172
actuallyadditions:lamp_light_gray 11177
actuallyadditions:lamp_lime 11174
actuallyadditions:lamp_magenta 11171
actuallyadditions:lamp_orange 11170
actuallyadditions:lamp_pink 11175
actuallyadditions:lamp_purple 11179
actuallyadditions:lamp_red 11183
actuallyadditions:lamp_white 11169
actuallyadditions:lamp_yellow 11173
actuallyadditions:laser_relay 11201
actuallyadditions:laser_relay_advanced 11202
actuallyadditions:laser_relay_extreme 11203
actuallyadditions:laser_relay_fluids 11204
actuallyadditions:laser_relay_item 11205
actuallyadditions:laser_relay_item_advanced 11206
actuallyadditions:laser_upgrade_invisibility 11048
actuallyadditions:laser_upgrade_range 11047
actuallyadditions:laser_wrench 11065
actuallyadditions:lava_factory_casing 11123
actuallyadditions:lava_factory_controller 11129
actuallyadditions:leaf_blo_pattern 11117
actuallyadditions:leaf_blower 11104
actuallyadditions:leaf_generator 11135
actuallyadditions:lens 11022
actuallyadditions:lens_of_certain_death 11060
actuallyadditions:lens_of_color 11058
actuallyadditions:lens_of_detonation 11059
actuallyadditions:lens_of_disenchanting 11062
actuallyadditions:lens_of_disruption 11064
actuallyadditions:lens_of_the_killer 11061
actuallyadditions:lens_of_the_miner 11063
actuallyadditions:long_range_breaker 11147
actuallyadditions:netherite_aiot 11115
actuallyadditions:oil_generator 11133
actuallyadditions:palis_crystal 11033
actuallyadditions:palis_crystal_block 11153
actuallyadditions:palis_crystal_cluster 11165
actuallyadditions:palis_crystal_shard 11027
actuallyadditions:phan_con_pattern 11118
actuallyadditions:phantom_booster 11196
actuallyadditions:phantom_breaker 11195
actuallyadditions:phantom_connector 11101
actuallyadditions:phantom_energyface 11193
actuallyadditions:phantom_itemface 11190
actuallyadditions:phantom_liquiface 11192
actuallyadditions:phantom_placer 11191
actuallyadditions:phantom_redstoneface 11194
actuallyadditions:placer 11138
actuallyadditions:player_interface 11187
actuallyadditions:player_probe 11053
actuallyadditions:powered_furnace 11149
actuallyadditions:quadruple_battery 11090
actuallyadditions:quintuple_battery 11091
actuallyadditions:ranged_collector 11146
actuallyadditions:refined_canola_oil_bucket 11239
actuallyadditions:restonia_crystal 11032
actuallyadditions:restonia_crystal_block 11152
actuallyadditions:restonia_crystal_cluster 11164
actuallyadditions:restonia_crystal_shard 11026
actuallyadditions:rice 11014
actuallyadditions:rice_dough 11015
actuallyadditions:rice_seeds 11107
actuallyadditions:rice_slimeball 11018
actuallyadditions:ring 11011
actuallyadditions:ring_of_growth 11067
actuallyadditions:ring_of_magnetizing 11068
actuallyadditions:shock_suppressor 11199
actuallyadditions:single_battery 11087
actuallyadditions:smooth_black_quartz_block 11213
actuallyadditions:smooth_black_quartz_slab 11227
actuallyadditions:smooth_black_quartz_stair 11234
